Page URL,Hreflang,Issue Type,Discovered
https://www.fearnotforiamwithyou.com/pricing,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/privacy-policy,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/refund,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/bible-verses-for-anxiety-and-fear,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/praise-the-lord,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/prayer-for-fear-202603,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/prayer-for-healing,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/bible-verses-for-anxiety-and-fear--a938f82e-8fb3-46d7-bbc9-037b970e560f,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/bible-verses-for-difficult-days--bc93f716-8d63-466d-ae9a-e819ef95fdc2,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/bible-verses-for-fear-after-tragic-news-comfort-and-hope-in-god-s-word--9ab292a1-632d-4a36-ac76-fc598640938f,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/ibuprofen-recall-what-to-do-a-prayer-for-safety-and-peace--8e3e672c-7004-4531-b6fe-31f29b8dbc71,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/meningococcal-meningitis-outbreak-what-you-need-to-know-a-prayer-for-protection--7cd95cd2-8969-498c-b649-be61c8efbc35,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/powerful-prayer-for-fear--81a6cc64-bfd3-4f00-b1b2-53ad0139923f,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/praise-the-lord--39d2ea4b-a403-415f-8258-ce7e78644e69,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/prayer-for-healing--ea1d1e4d-29df-43b4-a6fd-2a2e9a8b69a0,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/prayer-for-loss-of-loved-one--bb417bad-09a6-45bf-a4c9-e6775ae9e62a,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/terms-of-service,en,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/blog,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/blog/prayer-for-healing-of-a-friend-20260312,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/comments,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/pricing,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/privacy-policy,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/refund,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/bible-verses-for-anxiety-and-fear,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/praise-the-lord,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/prayer-for-fear-202603,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/prayer-for-healing,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/bible-verses-for-anxiety-and-fear--a938f82e-8fb3-46d7-bbc9-037b970e560f,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/bible-verses-for-difficult-days--bc93f716-8d63-466d-ae9a-e819ef95fdc2,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/bible-verses-for-fear-after-tragic-news-comfort-and-hope-in-god-s-word--9ab292a1-632d-4a36-ac76-fc598640938f,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/ibuprofen-recall-what-to-do-a-prayer-for-safety-and-peace--8e3e672c-7004-4531-b6fe-31f29b8dbc71,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/meningococcal-meningitis-outbreak-what-you-need-to-know-a-prayer-for-protection--7cd95cd2-8969-498c-b649-be61c8efbc35,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/powerful-prayer-for-fear--81a6cc64-bfd3-4f00-b1b2-53ad0139923f,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/praise-the-lord--39d2ea4b-a403-415f-8258-ce7e78644e69,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/prayer-for-healing--ea1d1e4d-29df-43b4-a6fd-2a2e9a8b69a0,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/showcases/watch/prayer-for-loss-of-loved-one--bb417bad-09a6-45bf-a4c9-e6775ae9e62a,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
https://www.fearnotforiamwithyou.com/terms-of-service,x-default,Conflicting hreflang and rel=canonical,25 Mar 2026 (09:25 UTC)
